GUARDIA VIEJA;3800;52;110000;2115,4;;2;1;5;;CONTRAFRENTE;;;SI;0;;;;;INMUEBLESCLARIN.COM/ALMAGRO;3800 GUARDIA VIEJA;GUARDIA VIEJA;100;L;ALMAGRO;5;4.051.222.618;3
ALVEAR, MARCELO T. DE;1600;240;785000;3270,8;7;5;4;70;;FRENTE;;SI;;3;SI;SI;;;BUSCAINMUEBLE/RECOLETA;1600 ALVEAR, MARCELO T. DE;MARCELO T. DE ALVEAR;93;L;RECOLETA;2;6.146.826.409;2
GALLO;600;74;175000;2364,9;;4;3;14;;FRENTE;;SI;;2;;;BALCON;;ARGENPROP.COM/BALVANERA;600 GALLO;GALLO;100;L;ALMAGRO;5;4.051.222.618;3
CORTINA;1900;110;115000;1045,5;;3;2;;A ESTRENAR;CONTRAFRENTE;;;;0;;;TERRAZA;;ZONAPROP.COM_VERSALLES;1900 CORTINA;CORTINA;100;L;MONTE CASTRO;10;2.625.868.961;3
CONSTITUCION;3100;39;61000;1564,1;;2;1;;40;CONTRAFRENTE;;;;1;;;TERRAZA;;ZONAPROP/BOEDO;3100 CONSTITUCION;CONSTITUCION;100;L;SAN CRISTOBAL;3;2.043.952.644;4
BEIRO, FRANCISCO;3300;35;79500;2271,4;;2;1;;A ESTRENAR;;;;;0;;;;;ZONAPROP.COM_VILLA DEL PARQUE;3300 BEIRO, FRANCISCO;AV. FRANCISCO BEIRO;95;L;VILLA DEL PARQUE;11;3.398.880.018;3
RIVADAVIA;11000;45;70000;1555,6;;2;1;50;;;;;;0;SI;SI;PATIO;;ZONAPROP.COM_LINIERS;11000 RIVADAVIA;AV. RIVADAVIA;100;L;LINIERS;9;4.374.207.539;3
CABILDO;1600;32;67000;2093,8;;2;1;40;;LATERAL;;;;1;;;;;ZONAPROP/BELGRANO;1600 CABILDO;AV. CABILDO;100;L;BELGRANO;13;7.929.988.805;2
ROCHA;1600;77;90000;1168,8;17;4;3;35;;LATERAL;;;;0;;;;;INMUEBLESCLARIN.COM/BARRACAS;1600 ROCHA;ROCHA;100;L;BARRACAS;4;7.878.302.179;4
FOULLIER, FELIX O.;5800;63;95000;1507,9;;0;0;;A ESTRENAR;CONTRAFRENTE;;;;1;;;;;ARGENPROP.COM/VILLAURQUIZA;5800 FOULLIER, FELIX O.;FELIX O. FOUILLER;30;;VILLA URQUIZA;12;5.448.470.069;3
PACHECO;3000;43;79900;1858,1;;1;0;;;;;;;0;;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;3000 PACHECO;PACHECO;100;L;VILLA URQUIZA;12;5.448.470.069;3
24 DE NOVIEMBRE;1600;35;53000;1514,3;;1;1;35;;CONTRAFRENTE;;;;1;;;TERRAZA;;ZONAPROP/BOEDO;1600 24 DE NOVIEMBRE;24 DE NOVIEMBRE;100;L;PARQUE PATRICIOS;4;3.743.273.658;4
LAPRIDA;1000;43;88000;2046,5;;2;1;35;;FRENTE;;;;1;;;TERRAZA;;ZONAPROP/BARRIO NORTE;1000 LAPRIDA;LAPRIDA;100;L;RECOLETA;2;6.146.826.409;2
BILBAO, FRANCISCO;2000;250;470000;1880;;5;4;37;;FRENTE;;SI;SI;4;SI;SI;TERRAZA;;ZONAPROP/FLORES;2000 BILBAO, FRANCISCO;FRANCISCO BILBAO;96;L;FLORES;7;8.594.550.061;3
NAZARRE;3200;84;145000;1726,2;;3;2;;;CONTRAFRENTE;;;;0;SI;;PATIO;;ZONAPROP.COM_VILLA DEL PARQUE;3200 NAZARRE;NAZARRE;100;L;VILLA DEL PARQUE;11;3.398.880.018;3
LARRALDE, CRISOLOGO;2400;38;97000;2552,6;1;2;1;30;;INTERNO;;;;1;;;TERRAZA;;BUSCAINMUEBLE/NUÑEZ;2400 LARRALDE, CRISOLOGO;CRISOLOGO LARRALDE;96;L;NUÑEZ;13;4.351.538.489;2
LAUTARO;400;177;295000;1666,7;;4;3;40;;FRENTE;;;SI;3;;;TERRAZA;;ZONAPROP/FLORES;400 LAUTARO;LAUTARO;100;L;FLORES;7;8.594.550.061;3
PACHECO DE MELO, JOSE ANDRES;1900;33;119500;3621,2;;2;1;;;CONTRAFRENTE;;;;1;;;;;ARGENPROP.COM/BARRIONORTE;1900 PACHECO DE MELO, JOSE ANDRES;JOSE ANDRES PACHECO DE MELO;95;L;RECOLETA;2;6.146.826.409;2
SAN BLAS;1900;34;66500;1955,9;;1;0;;;FRENTE;;;;0;;;;;ZONAPROP.COM_PATERNAL;1900 SAN BLAS;SAN BLAS;100;L;VILLA GRAL. MITRE;11;2.162.702.276;3
ARAOZ;200;135;335000;2481,5;10;3;3;;A ESTRENAR;CONTRAFRENTE;DUPLEX;;;1;;;TERRAZA;;ARGENPROP.COM/VILLACRESPO;200 ARAOZ;ARAOZ;100;L;VILLA CRESPO;15;3.613.373.642;3
MATURIN;2300;186;152000;817,2;;4;3;60;;CONTRAFRENTE;DUPLEX;;;0;SI;SI;TERRAZA;;ZONAPROP.COM_PATERNAL;2300 MATURIN;MATURIN;100;L;PATERNAL;15;2.229.856.457;3
3 DE FEBRERO;900;81;202000;2493,8;;2;1;;;FRENTE;;;SI;1;;;TERRAZA;;ZONAPROP/BELGRANO;900 3 DE FEBRERO;3 DE FEBRERO;100;L;PALERMO;14;15.773.573.191;2
CORRIENTES;4000;50;125000;2500;;2;1;;;LATERAL;;;;0;SI;;;;INMUEBLESCLARIN.COM/ALMAGRO;4000 CORRIENTES;AV. CORRIENTES;100;L;ALMAGRO;5;4.051.222.618;3
NAON, ROMULO;4000;72;140000;1944,4;;2;1;4;;CONTRAFRENTE;DUPLEX;;SI;1;;;TERRAZA;;BUSCAINMUEBLE/SAAVEDRA;4000 NAON, ROMULO;DR. ROMULO S. NAON;94;L;SAAVEDRA;12;5.536.171.349;2
THORNE;1300;66;93000;1409,1;2;3;2;;A ESTRENAR;FRENTE;;SI;;0;SI;;;;ZONAPROP.COM_PARQUE CHACABUCO;1300 THORNE;THORNE;100;L;PARQUE CHACABUCO;7;3.833.086.018;4
ARENALES;3400;34;97000;2852,9;;1;1;40;;INTERNO;;;;1;;;;;ARGENPROP.COM/PALERMO;3400 ARENALES;ARENALES;100;L;PALERMO;14;15.773.573.191;2
MERCEDES;3100;135;370000;2740,7;;4;3;2;;CONTRAFRENTE;;;SI;0;;;BALCON;;ARGENPROP.COM/VILLADEVOTO;3100 MERCEDES;MERCEDES;100;L;VILLA DEVOTO;11;6.403.818.336;3
CUBAS, JOSE;2100;34;73500;2161,8;2;2;0;;;CONTRAFRENTE;POR ESCALERA;;;0;;;;;ARGENPROP.COM/VILLAPUEYRREDON;2100 CUBAS, JOSE;JOSE CUBAS;31;;VILLA PUEYRREDON;12;3.302.910,10;3
RAMOS MEJIA;1000;30;78000;2600;2;2;1;40;;LATERAL;;;;0;;;;;ZONAPROP.COM_PARQUE CENTENARIO;1000 RAMOS MEJIA;RAMOS MEJIA;100;L;CABALLITO;6;6.851.079.059;3
FREIRE, RAMON, CAP. GRAL.;1000;57;130000;2295,6;;1;1;;A ESTRENAR;FRENTE;;;SI;1;;;TERRAZA;;ZONAPROP/COLEGIALES;1000 FREIRE, RAMON, CAP. GRAL.;CAPITAN GENERAL RAMON FREIRE;89;L;COLEGIALES;13;2.288.708.124;2
MUZILLI CAROLINA;5500;65;125000;1923,1;;3;2;;;FRENTE;;;;0;;;BALCON;;ZONAPROP.COM_MATADEROS;5500 MUZILLI CAROLINA;CAROLINA MUZILLI;96;L;MATADEROS;9;7.398.564,74;4
MILLER;2300;51;99300;1947,1;2;0;0;;A ESTRENAR;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;2300 MILLER;MILLER;100;L;VILLA URQUIZA;12;5.448.470.069;3
DIAZ COLODRERO;2700;45;92500;2055,6;;2;1;6;;CONTRAFRENTE;;;;1;;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;2700 DIAZ COLODRERO;DIAZ COLODRERO;100;L;VILLA URQUIZA;12;5.448.470.069;3
SARMIENTO;3700;32;75500;2359,4;;1;0;;;FRENTE;;;SI;0;;;;;INMUEBLESCLARIN.COM/ALMAGRO;3700 SARMIENTO;AV. SARMIENTO;100;L;ALMAGRO;5;4.051.222.618;3
