CALLE;NUMERO;M2;DOLARES;U_S_M2;PISO;AMBIENTES;DORMITORIO;ANTIGUEDAD;A_ESTRENAR;FRENTE_Y_CONTRA;EDIFICACION;BAUL;COCHERA;BANIOS;LAVADERO;DEPENDENCIA;TERRAZA;OBS1;FUENTE;DIRECCION;NOMB_CA_CO;AV_SCORE;AV_SIDE;BARRIOS;COMUNA;AREA;ZONA
        GARCIA TEODORO;2200;105;260000;2476,2;;4;3;30;;FRENTE;;SI;;3;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;2200 GARCIA TEODORO;TEODORO GARCIA;95;L;PALERMO;14;15.773.573.191;2
        CABRERA, JOSE A.;3100;30;96000;3200;1;1;1;;;FRENTE;;;SI;1;SI;;TERRAZA;;BUSCAINMUEBLE/RECOLETA;3100 CABRERA, JOSE A.;JOSE ANTONIO CABRERA;91;L;RECOLETA;2;6.146.826.409;2
        TRIUNVIRATO;5400;43;124000;2883,7;8;1;1;14;;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;5400 TRIUNVIRATO;AV. TRIUNVIRATO;100;L;VILLA URQUIZA;12;5.448.470.069;3
        MISTRAL, GABRIELA;3100;152;265000;1743,4;19;4;3;29;;FRENTE;;;;0;;;;;ZONAPROP.COM_VILLA PUEYRREDON;3100 MISTRAL, GABRIELA;GABRIELA MISTRAL;96;L;VILLA PUEYRREDON;12;3.302.910,10;3
        CABRERA, JOSE A.;3100;51;119900;2351;;2;1;37;;FRENTE;;;;0;;;;;INMUEBLESCLARIN.COM/BARIO NORTE;3100 CABRERA, JOSE A.;JOSE ANTONIO CABRERA;91;L;RECOLETA;2;6.146.826.409;2
        CABRERA, JOSE A.;3100;57;155000;2719,3;;2;2;65;;;POR ESCALERA;SI;;1;SI;;TERRAZA;;ARGENPROP.COM/PALERMO;3100 CABRERA, JOSE A.;JOSE ANTONIO CABRERA;91;L;RECOLETA;2;6.146.826.409;2
        GUEMES;3000;37;84915;2295;;1;1;;;;;;;1;;;TERRAZA;;ARGENPROP.COM/PALERMO;3000 GUEMES;GÜEMES;100;L;RECOLETA;2;6.146.826.409;2
        LEGUIZAMON, MARTINIANO;33;70;128000;1828,6;;3;2;20;;CONTRAFRENTE;;;SI;0;SI;SI;;;ZONAPROP.COM_LINIERS;33 LEGUIZAMON, MARTINIANO;MARTINIANO LEGUIZAMON;97;R;LINIERS;9;4.374.207.539;3
        LAMAS, ANDRES;1900;60;95000;1583,3;;2;1;;;;;;SI;2;SI;SI;BALCON TERRAZA;;ZONAPROP.COM_PATERNAL;1900 LAMAS, ANDRES;ANDRES LAMAS;94;L;VILLA GRAL. MITRE;11;2.162.702.276;3
        HEREDIA;1100;49;123000;2510,2;;2;1;;;FRENTE;;;SI;0;SI;;;;ZONAPROP.COM_VILLA ORTUZAR;1100 HEREDIA;HEREDIA;100;L;VILLA ORTUZAR;15;1.853.740.362;3
        DEL LIBERTADOR;7000;275;1600000;5818,2;;5;4;4;;FRENTE;;SI;SI;4;SI;SI;TERRAZA;;BUSCAINMUEBLE/NUÑEZ;7000 DEL LIBERTADOR;AV. DEL LIBERTADOR;100;L;NUÑEZ;13;4.351.538.489;2
        PARAGUAY;2300;48;115000;2395,8;;2;1;20;;CONTRAFRENTE;;;;1;;;;;ARGENPROP.COM/BARRIONORTE;2300 PARAGUAY;PARAGUAY;100;L;RECOLETA;2;6.146.826.409;2
        ROCA JULIO A. PRES.;700;90;210000;2330,7;;1;1;;;FRENTE;;;;1;;;TERRAZA;;ZONAPROP/CENTRO;700 ROCA JULIO A. PRES.;AV. PTE. JULIO A. ROCA;87;L;MONTSERRAT;1;2.200.624.563;1
        GASCON;500;90;145000;1611,1;3;2;2;8;;;DUPLEX;;;2;SI;;;;ARGENPROP.COM/ALMAGRO;500 GASCON;GASCON;100;L;ALMAGRO;5;4.051.222.618;3
        LAVALLE;2900;85;110000;1294,1;;3;3;45;;CONTRAFRENTE;;;;2;SI;;;;ARGENPROP.COM/ABASTO;2900 LAVALLE;LAVALLE;100;L;BALVANERA;3;4.341.063.997;3
        EL GAUCHO;5900;60;77000;1283,3;PB;3;2;60;;FRENTE;MONOBLOCK;;;0;;;;;ZONAPROP.COM_VILLA PUEYRREDON;5900 EL GAUCHO;EL GAUCHO;100;L;VILLA PUEYRREDON;12;3.302.910,10;3
        YRIGOYEN, HIPOLITO;3600;38;74900;1971,1;;1;0;9;;FRENTE;;;;0;;;;;INMUEBLESCLARIN.COM/ALMAGRO;3600 YRIGOYEN, HIPOLITO;AV. HIPOLITO YRIGOYEN;96;L;ALMAGRO;5;4.051.222.618;3
        INDEPENDENCIA;2900;241;235000;975,1;;5;4;;;FRENTE;;;;2;SI;;TERRAZA;;ZONAPROP.COM_SAN CRISTOBAL;2900 INDEPENDENCIA;AV. INDEPENDENCIA;100;L;SAN CRISTOBAL;3;2.043.952.644;4
        CIUDAD DE LA PAZ;2700;39;95000;2435,9;;1;1;;;FRENTE;;;;1;;;TERRAZA;;ZONAPROP/BELGRANO;2700 CIUDAD DE LA PAZ;CIUDAD DE LA PAZ;100;L;BELGRANO;13;7.929.988.805;2
        SCALABRINI ORTIZ, RAUL;2000;35;84000;2400;4;1;1;30;;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/PALERMO;2000 SCALABRINI ORTIZ, RAUL;AV. RAUL SCALABRINI ORTIZ;97;L;PALERMO;14;15.773.573.191;2
        CORRIENTES;4500;56;118000;2107,1;10;2;2;30;;LATERAL;;;;1;;;;;ARGENPROP.COM/ALMAGRO;4500 CORRIENTES;AV. CORRIENTES;100;L;ALMAGRO;5;4.051.222.618;3
        TUNEZ;2500;113;197000;1743,4;;1;1;;A ESTRENAR;FRENTE;;;SI;2;SI;;TERRAZA;;ZONAPROP/NUÑEZ;2500 TUNEZ;TUNEZ;37;;BELGRANO;13;7.929.988.805;2
        URIBURU JOSE E. PRES.;500;58;130000;2241,4;;2;1;;A ESTRENAR;FRENTE;;;;0;;;;;INMUEBLESCLARIN.COM/BARIO NORTE;500 URIBURU JOSE E. PRES.;PRESIDENTE JOSE EVARISTO URIBURU;91;L;BALVANERA;3;4.341.063.997;3
        CABRERA, JOSE A.;3300;38;110000;2894,7;;0;0;;A ESTRENAR;;;;;1;;;BALCON;;ARGENPROP.COM/BARRIONORTE;3300 CABRERA, JOSE A.;JOSE ANTONIO CABRERA;91;L;RECOLETA;2;6.146.826.409;2
        GOMEZ, VALENTIN;3100;49;74000;1510,2;;2;1;62;;;;;;0;SI;;;;INMUEBLESCLARIN.COM/ABASTO;3100 GOMEZ, VALENTIN;VALENTIN GOMEZ;95;L;BALVANERA;3;4.341.063.997;3
        RODRIGUEZ PENA;1000;34;69800;2052,9;5;2;1;40;;INTERNO;;;;0;;;;;INMUEBLESCLARIN.COM/BARIO NORTE;1000 RODRIGUEZ PENA;RODRIGUEZ PEÑA;100;L;RECOLETA;2;6.146.826.409;2
        CABRERA, JOSE A.;3600;22;68000;3090,9;;1;1;;;;;;;1;;;;;ARGENPROP.COM/PALERMO;3600 CABRERA, JOSE A.;JOSE ANTONIO CABRERA;91;L;PALERMO;14;15.773.573.191;2
        GUZMAN;100;31;79000;2548,4;5;2;1;50;;CONTRAFRENTE;;;;1;;;TERRAZA;;BUSCAINMUEBLE/BARRACAS;100 GUZMAN;GUZMAN;100;L;CHACARITA;15;3.118.091.649;3
        RIVADAVIA;5100;135;310000;2296,3;;4;3;35;;FRENTE;;SI;SI;2;SI;SI;TERRAZA;;ZONAPROP/CABALLITO;5100 RIVADAVIA;AV. RIVADAVIA;100;L;CABALLITO;6;6.851.079.059;3
        RAMSAY;2000;424;3250000;7665,1;;5;4;;A ESTRENAR;FRENTE;;SI;SI;4;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;2000 RAMSAY;RAMSAY;100;L;BELGRANO;13;7.929.988.805;2
        MONTES DE OCA, MANUEL;500;85;320000;3764,7;;3;2;1;;FRENTE;;;SI;2;;;TERRAZA;;ZONAPROP/BARRACAS;500 MONTES DE OCA, MANUEL;AV. MANUEL A. MONTES DE OCA;96;L;BARRACAS;4;7.878.302.179;4
        REPUBLICA ARABE-SIRIA;3000;150;750000;5000;;3;3;4;;;;;SI;2;SI;;;;ARGENPROP.COM/PALERMO;3000 REPUBLICA ARABE-SIRIA;REPUBLICA ARABE-SIRIA;93;L;PALERMO;14;15.773.573.191;2
        SAN NICOLAS;2000;41;75000;1829,3;;1;1;20;;CONTRAFRENTE;;;;0;SI;;BALCON;;ARGENPROP.COM/VILLADEVOTO;2000 SAN NICOLAS;SAN NICOLAS;100;L;VILLA SANTA RITA;11;2.153.947.048;3
        JUNCAL;900;170;469000;2758,8;;5;4;50;;FRENTE;;SI;;2;SI;SI;;RECIC;ZONAPROP.COM_RETIRO;900 JUNCAL;JUNCAL;100;L;RETIRO;1;4.547.765.746;1
        ESTADOS UNIDOS;1300;150;120000;800;;4;3;;;CONTRAFRENTE;POR ESCALERA;;;2;SI;SI;TERRAZA;;ZONAPROP.COM_MONSERRAT;1300 ESTADOS UNIDOS;ESTADOS UNIDOS;100;L;CONSTITUCION;1;2.102.671.125;4
        FRAGA;700;50;100000;2000;;2;1;;A ESTRENAR;FRENTE;;;;1;;;TERRAZA;;ZONAPROP/CHACARITA;700 FRAGA;FRAGA;100;L;CHACARITA;15;3.118.091.649;3
        COMBATE DE LOS POZOS;600;28;52000;1857,1;;2;1;;38;LATERAL;;;;1;;;;;ZONAPROP/CONGRESO;600 COMBATE DE LOS POZOS;COMBATE DE LOS POZOS;100;L;BALVANERA;3;4.341.063.997;3
        MONTES DE OCA, MANUEL;1100;100;190000;1900;;4;3;50;;CONTRAFRENTE;;;;0;SI;;PATIO;;INMUEBLESCLARIN.COM/BARRACAS;1100 MONTES DE OCA, MANUEL;AV. MANUEL A. MONTES DE OCA;96;L;BARRACAS;4;7.878.302.179;4
        DEL LIBERTADOR;5700;60;210000;3500;;2;1;;;FRENTE;;;SI;1;;;TERRAZA;;BUSCAINMUEBLE/NUÑEZ;5700 DEL LIBERTADOR;AV. DEL LIBERTADOR;100;L;BELGRANO;13;7.929.988.805;2
        MONTE;6600;52;55000;1057,7;;3;2;;;FRENTE;MONOBLOCK;;;0;SI;SI;TERRAZA;;ZONAPROP.COM_LINIERS;6600 MONTE;MONTE;100;L;MATADEROS;9;7.398.564,74;4
